District,1,2,3,4,5,6,7,8,9,10,11,12
Ratnapura,195.0,241.0,273.9,517.6,473.2,300.3,291.0,300.6,353.5,561.4,547.8,348.0
Kandy,97.6,148.2,158.5,351.5,302.6,112.0,142.5,148.6,207.1,469.2,373.6,233.5
Nuwara Eliya,130.0,108.0,120.0,245.0,217.0,179.0,186.0,193.0,232.0,374.0,331.0,235.0
Ampara,271.1,207.6,78.3,115.9,165.0,69.6,80.1,113.5,172.5,304.5,406.8,553.1
Colombo,62.0,69.0,130.0,253.0,382.0,186.0,125.0,114.0,236.0,369.0,310.0,168.0
Galle,76.0,59.0,78.0,161.0,291.0,258.0,226.0,218.0,246.0,279.0,260.0,155.0
Kegalle,62.0,58.0,89.0,197.0,205.0,234.0,219.0,197.0,201.0,374.0,314.0,156.0
Matara,111.0,87.0,111.0,193.0,237.0,202.0,170.0,170.0,203.0,268.0,305.0,204.0
Kurunegala,62.0,92.0,138.0,262.0,194.0,156.0,114.0,93.0,159.0,359.0,327.0,139.0
Puttalam,81.3,79.4,82.0,146.7,179.8,135.0,114.1,109.4,141.5,320.7,345.4,265.9
Vavuniya,137.0,93.0,103.0,182.0,117.0,82.0,113.0,118.0,135.0,306.0,334.0,235.0
Monaragala,137.0,93.0,103.0,182.0,117.0,82.0,113.0,118.0,135.0,306.0,334.0,235.0
Matale,90.0,71.0,91.0,205.0,133.0,111.0,114.0,109.0,112.0,341.0,306.0,185.0
Mullaitivu,106.0,50.0,36.0,49.0,82.0,48.0,63.0,101.0,159.0,381.0,456.0,321.0
Jaffna,78.5,79.1,56.1,93.9,117.2,57.7,56.7,81.5,100.5,335.8,407.8,293.6
Gampaha,29.0,36.0,55.0,112.0,204.0,231.0,177.0,210.0,153.0,224.0,174.0,139.0
Badulla,139.0,94.0,88.0,169.0,141.0,54.0,52.0,74.0,130.0,280.0,279.0,223.0
Polannaruwa,80.1,88.4,94.0,240.6,138.4,34.6,51.1,62.3,118.0,324.5,262.3,211.9
Kilinochchi,74.8,75.4,53.5,89.4,111.6,55.0,54.0,77.6,95.8,319.9,388.4,279.6
Mannar,74.7,75.3,53.4,89.3,111.5,54.9,54.0,77.5,95.6,319.4,387.9,279.2
Anuradhapura,72.6,80.1,85.2,217.9,125.3,31.3,46.3,56.4,106.8,293.8,237.5,191.9
Kaluthara,58.4,45.7,68.6,137.2,157.5,106.7,66.0,68.6,111.8,203.2,218.4,119.4
Batticaloa,181.0,96.0,60.0,66.0,53.0,25.0,25.0,34.0,51.0,162.0,291.0,305.0
Trincomalee,136.0,80.0,47.0,63.0,50.0,18.0,31.0,50.0,69.0,196.0,303.0,275.0
Hambantota,68.0,47.0,67.0,118.0,114.0,76.0,57.0,64.0,97.0,155.0,237.0,157.0