District,1,2,3,4,5,6,7,8,9,10,11,12
Ratnapura,6.6,5.0,4.1,5.5,10.1,12.6,12.5,12.1,11.2,8.2,6.1,6.7
Kandy,8.1,6.8,5.0,4.8,9.8,13.3,13.2,12.7,11.3,7.7,6.3,7.6
Nuwara Eliya,7.4,5.9,4.3,4.4,8.9,12.1,12.1,11.6,10.3,7.1,5.7,7.0
Ampara,9.6,8.2,6.6,5.7,7.5,9.7,9.6,8.9,7.7,6.2,7.1,9.1
Colombo,10.7,7.8,6.0,7.5,12.0,13.9,13.4,13.2,12.5,9.8,8.7,10.4
Galle,7.4,6.2,6.3,8.2,13.2,15.4,15.2,14.9,14.2,11.3,8.5,7.9
Kegalle,4.8,4.4,3.1,2.9,5.8,8.4,7.8,7.2,6.7,4.2,3.3,4.2
Matara,8.9,8.0,7.4,8.5,13.4,15.7,15.6,15.3,14.5,11.6,8.6,8.6
Kurunegala,9.9,8.1,5.7,5.8,11.2,14.4,14.2,13.8,12.6,8.8,7.5,9.3
Puttalam,12.8,10.7,8.0,8.2,14.2,17.4,16.9,16.4,15.2,11.0,10.1,12.3
Vavuniya,10.2,9.0,7.3,7.0,12.3,16.0,15.5,14.9,13.4,9.3,8.4,10.1
Monaragala,8.3,7.2,5.7,5.3,8.8,11.3,11.2,10.9,9.8,6.9,6.1,7.7
Matale,5.7,5.3,3.8,3.5,7.0,10.3,9.7,8.8,8.2,5.1,3.8,4.8
Mullaitivu,10.0,14.1,10.0,10.0,6.0,7.0,10.0,19.0,17.2,13.0,14.3,15.7
Jaffna,13.8,11.7,9.6,9.9,15.5,18.6,17.2,16.4,15.1,11.4,12.0,14.2
Gampaha,10.2,7.7,5.9,7.1,11.5,13.3,12.9,12.7,12.0,9.2,8.2,9.8
Badulla,7.5,6.2,4.7,4.6,8.4,11.5,11.5,11.0,9.7,6.6,5.7,7.1
Polannaruwa,9.2,8.1,6.6,5.9,10.5,14.6,14.8,14.0,12.0,8.3,7.3,8.9
Kilinochchi,12.8,11.0,9.0,8.8,14.5,18.2,17.2,16.3,14.7,10.9,11.0,13.2
Mannar,16.3,14.8,11.7,10.2,18.0,22.6,20.6,20.1,18.9,13.9,13.0,15.9
Anuradhapura,10.0,8.7,6.8,6.6,12.1,15.7,15.5,15.0,13.6,9.3,8.0,9.7
Kaluthara,7.7,5.8,5.4,7.3,11.6,13.5,13.2,12.9,12.2,9.6,7.9,8.2
Batticaloa,11.3,9.6,7.8,6.7,9.0,12.5,12.6,11.3,9.4,7.6,8.6,11.0
Trincomalee,12.0,10.4,8.8,8.4,13.4,17.8,17.4,16.4,14.2,10.5,10.1,12.1
Hambantota,10.4,10.8,8.3,7.5,13.3,16.4,16.3,16.2,14.6,10.4,7.3,8.9